City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
325,Kolokani,ML,82.53,clear sky,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
329,Impfondo,CG,74.23,clear sky,1.6381,18.0667,Préfecture de la Likouala
332,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
333,Thinadhoo,MV,81.91,overcast clouds,0.5333,72.9333,
335,Cidreira,BR,73.78,light rain,-30.1811,-50.2056,Hotel Castelo
337,Ojinaga,MX,80.6,clear sky,29.5667,-104.4167,Suites Las Palmas
340,Iberia,US,80.01,overcast clouds,29.9502,-91.7507,back to back rv park
341,La Asuncion,VE,76.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
343,Bengkulu,ID,74.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
344,Yazman,PK,83.91,clear sky,29.1212,71.7446,Jamal sons showroom
347,Iralaya,HN,84.2,scattered clouds,15.0,-83.2333,Iglesia morava renovada
353,Jaciara,BR,78.46,broken clouds,-15.9653,-54.9683,Taba Hotel
354,Ashti,IN,79.88,clear sky,19.3833,76.2333,Sree Sant Savta Mali
359,Atar,MR,79.45,clear sky,20.5169,-13.0499,Oumou Elghoura
363,Sao Jose Da Coroa Grande,BR,77.04,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
365,Faanui,PF,82.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
366,Manggar,ID,78.6,broken clouds,-2.8833,108.2667,Guest Hotel
374,Sibolga,ID,76.03,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
375,Vanimo,PG,80.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
376,Kalmunai,LK,78.04,overcast clouds,7.4167,81.8167,VS Villa
379,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
383,Nortelandia,BR,75.9,clear sky,-14.4547,-56.8028,Hotel Karysmã
385,Chilca,PE,73.4,clear sky,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
387,Puerto Baquerizo Moreno,EC,84.2,few clouds,-0.9,-89.6,Hotel los Algarrobos
388,Inirida,CO,75.6,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
390,Porto Novo,BJ,84.2,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
392,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
394,Dan Khun Thot,TH,84.0,overcast clouds,15.2085,101.7714,Sai Thong Hotel
395,Zachary,US,84.0,broken clouds,30.6485,-91.1565,Holiday Inn Express & Suites Baton Rouge North
403,Mangrol,IN,78.12,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
411,Sikasso,ML,84.69,few clouds,10.9167,-7.0,
415,Pouembout,NC,87.26,clear sky,-21.1333,164.9,Camping de Tipenga
416,Leon,MX,86.0,scattered clouds,21.1167,-101.6667,Hotel Misión León
418,San Miguelito,PA,89.6,few clouds,9.0333,-79.5,Conferencista Jose Pepe Quijada
421,Ilheus,BR,80.6,few clouds,-14.7889,-39.0494,Barravento Hotel
