City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Montmagny,FR,2021-03-25 01:02:51,48.9734,2.3469,48.99,81,90,2.3
98,Kapaa,US,2021-03-25 01:02:51,22.0752,-159.319,80.01,78,1,13.8
99,Geraldton,AU,2021-03-25 01:02:52,-28.7667,114.6,69.8,52,0,12.66
100,Olafsvik,IS,2021-03-25 01:00:22,64.8945,-23.7142,31.21,62,85,10.74
101,Kununurra,AU,2021-03-25 00:59:35,-15.7667,128.7333,84.2,89,40,5.75
102,Nanortalik,GL,2021-03-25 01:02:52,60.1432,-45.2371,17.37,57,43,33.98
103,Airai,TL,2021-03-25 01:02:53,-8.9266,125.4092,71.96,66,50,2.17
104,Bambous Virieux,MU,2021-03-25 01:02:53,-20.3428,57.7575,77.0,100,20,4.61
105,Westport,US,2021-03-25 01:02:53,41.1415,-73.3579,51.01,93,90,13.8
106,Margate,GB,2021-03-25 01:02:54,51.3813,1.3862,48.0,77,100,1.01
107,Souillac,MU,2021-03-25 01:02:54,-20.5167,57.5167,73.4,100,20,4.61
108,San Patricio,US,2021-03-25 01:02:55,28.017,-97.5169,77.0,94,75,11.5
109,Hamilton,US,2021-03-25 01:02:55,39.1834,-84.5333,66.99,45,20,9.22
110,Deputatskiy,RU,2021-03-25 01:02:55,69.3,139.9,-8.81,95,97,1.66
111,Misratah,LY,2021-03-25 01:02:56,32.3754,15.0925,56.26,59,6,16.04
112,Naze,JP,2021-03-25 01:02:56,28.3667,129.4833,69.8,83,20,13.8
113,Qaanaaq,GL,2021-03-25 01:02:56,77.484,-69.3632,-19.77,56,16,8.01
114,Dayong,CN,2021-03-25 01:02:57,25.0209,118.2898,62.6,77,0,2.24
115,Cabo San Lucas,MX,2021-03-25 01:02:57,22.8909,-109.9124,71.01,63,40,17.27
116,Makakilo City,US,2021-03-25 01:02:58,21.3469,-158.0858,80.6,88,90,10.36
117,Lazaro Cardenas,MX,2021-03-25 01:02:58,17.9583,-102.2,75.76,67,2,6.76
118,Atuona,PF,2021-03-25 01:02:59,-9.8,-139.0333,80.62,76,26,19.08
119,Pran Buri,TH,2021-03-25 01:00:31,12.3847,99.9098,84.0,73,98,2.3
120,Tiznit,MA,2021-03-25 01:02:59,29.5833,-9.5,64.72,23,0,5.37
121,Cabedelo,BR,2021-03-25 00:58:53,-6.9811,-34.8339,75.2,100,90,9.22
122,Provideniya,RU,2021-03-25 01:03:00,64.3833,-173.3,17.6,73,75,13.42
123,Portland,US,2021-03-25 01:02:00,45.5234,-122.6762,48.2,81,90,12.66
124,Quatre Cocos,MU,2021-03-25 01:03:00,-20.2078,57.7625,77.0,100,20,4.61
125,Natal,BR,2021-03-25 01:03:01,-5.795,-35.2094,78.8,83,40,5.75
126,Iqaluit,CA,2021-03-25 01:03:01,63.7506,-68.5145,-16.01,69,75,4.0
127,Madingou,CG,2021-03-25 00:59:05,-4.1536,13.55,70.93,97,100,2.19
128,Damghan,IR,2021-03-25 01:03:02,36.1683,54.348,63.16,37,96,4.25
129,Mogadishu,SO,2021-03-25 01:03:02,2.0371,45.3438,77.76,78,2,13.09
130,Bazarnyye Mataki,RU,2021-03-25 01:03:03,54.8833,49.9333,11.59,98,57,1.12
131,Changping,CN,2021-03-25 01:03:03,40.2186,116.2197,54.0,32,0,2.24
132,Georgetown,MY,2021-03-25 01:03:03,5.4112,100.3354,80.01,94,20,5.75
133,Baykit,RU,2021-03-25 01:03:04,61.67,96.37,22.21,95,100,2.8
134,Constitucion,CL,2021-03-25 01:00:56,-35.3333,-72.4167,53.83,83,67,14.67
135,Cape Town,ZA,2021-03-25 01:03:04,-33.9258,18.4232,68.0,82,0,2.3
136,Berlevag,NO,2021-03-25 00:58:54,70.8578,29.0864,32.13,83,20,16.42
137,Chiredzi,ZW,2021-03-25 01:03:05,-21.05,31.6667,62.04,86,0,3.33
138,Ankara,TR,2021-03-25 01:02:45,39.9199,32.8543,30.2,69,90,9.22
139,Balakhninskiy,RU,2021-03-25 01:03:05,58.0106,114.2769,12.25,94,100,2.08
140,Nancha,CN,2021-03-25 01:03:06,47.1333,129.2667,38.44,69,78,2.62
141,Tarakan,ID,2021-03-25 01:03:06,3.3,117.6333,79.12,79,100,5.23
142,Ngunguru,NZ,2021-03-25 01:03:07,-35.6167,174.5,75.0,62,2,7.0
143,Saint George,US,2021-03-25 01:00:08,37.1041,-113.5841,63.0,14,1,16.11
144,Havoysund,NO,2021-03-25 01:03:07,70.9963,24.6622,33.8,93,75,9.22
145,Ilulissat,GL,2021-03-25 01:01:35,69.2167,-51.1,-4.0,77,90,5.75
146,Mackay,AU,2021-03-25 01:03:08,-21.15,149.2,84.99,74,94,10.36
147,Tongren,CN,2021-03-25 01:03:08,27.7172,109.1853,59.13,77,100,2.37
148,Yuncheng,CN,2021-03-25 01:03:09,35.0231,110.9928,60.51,48,100,8.28
149,Bonavista,CA,2021-03-25 01:03:09,48.6499,-53.1147,35.01,86,100,1.14
150,Cidreira,BR,2021-03-25 01:03:09,-30.1811,-50.2056,73.29,78,3,10.22
151,Salalah,OM,2021-03-25 01:02:57,17.0151,54.0924,75.2,83,20,1.14
152,Gagino,RU,2021-03-25 01:03:10,55.2314,45.0339,10.17,98,68,2.75
153,Port Lincoln,AU,2021-03-25 01:03:10,-34.7333,135.8667,65.89,54,7,12.3
154,Ust-Donetskiy,RU,2021-03-25 01:03:11,47.6419,40.8718,32.22,99,100,6.62
155,Oktyabrskiy,RU,2021-03-25 01:03:11,54.4815,53.471,12.49,97,9,0.49
156,Yangambi,CD,2021-03-25 01:03:12,0.8102,24.4336,69.21,99,100,0.63
157,Kushima,JP,2021-03-25 01:03:12,31.4583,131.2333,57.2,94,75,6.91
158,Jacksonville,US,2021-03-25 00:59:27,30.3322,-81.6556,71.6,64,75,10.36
159,Bathsheba,BB,2021-03-25 01:03:12,13.2167,-59.5167,78.8,61,40,16.11
160,Sheridan,US,2021-03-25 00:58:22,44.8333,-106.9173,48.2,29,1,5.75
161,Mazagao,BR,2021-03-25 01:03:13,-0.115,-51.2894,77.0,94,75,3.44
162,Dongli,CN,2021-03-25 01:03:13,23.5656,116.8194,60.8,82,0,4.47
163,Longyearbyen,SJ,2021-03-25 01:03:14,78.2186,15.6401,26.6,74,40,12.66
164,Kaeo,NZ,2021-03-25 01:03:14,-35.1,173.7833,75.0,62,11,7.0
165,Ugoofaaru,MV,2021-03-25 01:03:15,5.6667,73.0,82.08,70,85,1.57
166,Ulaangom,MN,2021-03-25 01:00:11,49.9811,92.0667,15.82,69,85,1.16
167,Chifeng,CN,2021-03-25 01:03:15,42.2683,118.9636,52.65,27,4,9.15
168,Pointe Michel,DM,2021-03-25 01:03:16,15.25,-61.3833,77.32,68,4,12.12
169,Soyo,AO,2021-03-25 01:03:16,-6.1349,12.3689,78.1,78,100,3.44
170,Dunedin,NZ,2021-03-25 01:03:16,-45.8742,170.5036,57.99,87,100,1.99
171,Inuvik,CA,2021-03-25 01:03:17,68.3499,-133.7218,15.8,53,100,4.61
172,Port Alfred,ZA,2021-03-25 01:03:17,-33.5906,26.891,68.5,85,100,15.48
173,Peniche,PT,2021-03-25 01:03:18,39.3558,-9.3811,51.01,82,29,11.83
174,Port Hardy,CA,2021-03-25 01:03:18,50.6996,-127.4199,44.6,93,90,12.66
175,Barrow,US,2021-03-25 01:03:19,71.2906,-156.7887,-2.2,71,75,8.05
176,Licata,IT,2021-03-25 01:03:19,37.1071,13.9461,37.0,93,0,4.61
177,Te Anau,NZ,2021-03-25 01:03:20,-45.4167,167.7167,65.1,54,1,1.07
178,Rawson,AR,2021-03-25 01:00:50,-43.3002,-65.1023,56.14,54,0,10.71
