City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
82,Las Juntas,MX,2021-03-27 22:56:12,19.4167,-104.7,78.8,73,40,11.5,scattered clouds
83,Nogliki,RU,2021-03-27 22:56:12,51.8333,143.1667,21.18,89,32,8.77,scattered clouds
84,Lompoc,US,2021-03-27 22:56:13,34.6391,-120.4579,71.6,40,0,13.8,clear sky
85,Barrow,US,2021-03-27 22:51:41,71.2906,-156.7887,-11.2,70,1,3.44,clear sky
86,Aleksandrov Gay,RU,2021-03-27 22:56:13,50.147,48.5704,34.93,97,100,7.29,overcast clouds
87,Qaqortoq,GL,2021-03-27 22:56:14,60.7167,-46.0333,10.4,44,75,4.74,broken clouds
88,Linjiang,CN,2021-03-27 22:56:14,41.8069,126.9078,44.53,90,100,0.74,light rain
89,Mutare,ZW,2021-03-27 22:56:14,-18.9707,32.6709,63.36,91,46,1.81,scattered clouds
90,Airai,TL,2021-03-27 22:51:35,-8.9266,125.4092,62.78,89,100,2.51,overcast clouds
91,Ranong,TH,2021-03-27 22:56:15,9.9658,98.6348,77.14,92,100,4.07,overcast clouds
92,Ladario,BR,2021-03-27 22:56:15,-19.0047,-57.6017,85.08,39,87,3.13,overcast clouds
93,Labuhan,ID,2021-03-27 22:56:16,-6.8844,112.2051,78.04,87,9,4.43,clear sky
94,Hilo,US,2021-03-27 22:56:16,19.7297,-155.09,75.0,78,90,10.54,moderate rain
95,Semey,KZ,2021-03-27 22:56:16,50.4111,80.2275,33.82,99,100,4.07,light rain
96,Salinopolis,BR,2021-03-27 22:52:16,-0.6136,-47.3561,77.49,86,84,13.27,broken clouds
97,Avarua,CK,2021-03-27 22:56:17,-21.2078,-159.775,86.0,74,90,18.41,overcast clouds
98,Port-Cartier,CA,2021-03-27 22:56:17,50.0334,-66.8654,25.0,54,40,6.91,scattered clouds
99,Middelburg,ZA,2021-03-27 22:56:18,-25.7751,29.4648,56.35,65,5,8.08,clear sky
100,Shush,IR,2021-03-27 22:56:18,32.1942,48.2436,55.83,26,0,12.75,clear sky
101,At-Bashi,KG,2021-03-27 22:56:19,41.1702,75.8106,38.32,94,100,5.1,overcast clouds
102,Horsham,GB,2021-03-27 22:56:19,51.064,-0.3272,48.0,87,40,9.22,scattered clouds
103,Manado,ID,2021-03-27 22:56:19,1.487,124.8455,77.0,94,40,2.3,moderate rain
104,Atuona,PF,2021-03-27 22:55:41,-9.8,-139.0333,80.94,78,69,20.87,light rain
105,Waipawa,NZ,2021-03-27 22:51:45,-41.4122,175.5153,68.0,64,90,19.57,overcast clouds
106,Upernavik,GL,2021-03-27 22:55:21,72.7868,-56.1549,-29.34,92,16,5.08,few clouds
107,Acarau,BR,2021-03-27 22:56:20,-2.8856,-40.12,76.93,85,68,9.22,broken clouds
108,Mandi Bahauddin,PK,2021-03-27 22:56:21,32.5834,73.4843,69.49,39,15,4.5,few clouds
109,Ciudad Bolivar,VE,2021-03-27 22:56:21,8.1222,-63.5497,83.53,55,85,15.55,overcast clouds
110,Esperance,AU,2021-03-27 22:56:22,-33.8667,121.9,57.2,94,40,6.91,scattered clouds
111,Port Moresby,PG,2021-03-27 22:56:07,-9.4431,147.1797,80.6,89,20,3.44,few clouds
112,Hovd,MN,2021-03-27 22:56:22,48.0056,91.6419,26.02,30,6,1.7,clear sky
113,Havre-Saint-Pierre,CA,2021-03-27 22:56:23,50.2334,-63.5986,30.2,40,1,4.61,clear sky
114,Popondetta,PG,2021-03-27 22:56:23,-8.7537,148.2534,83.91,66,100,2.04,overcast clouds
115,Oranjestad,AW,2021-03-27 22:56:23,12.524,-70.027,82.4,69,40,23.02,scattered clouds
116,Olga,RU,2021-03-27 22:56:24,43.7444,135.2892,41.2,81,100,3.04,moderate rain
117,Jumla,NP,2021-03-27 22:56:24,29.2747,82.1838,43.45,60,0,5.03,clear sky
118,Georgetown,MY,2021-03-27 22:53:05,5.4112,100.3354,80.6,94,40,4.61,scattered clouds
119,Rabo De Peixe,PT,2021-03-27 22:51:57,37.8,-25.5833,53.6,82,20,6.91,few clouds
120,Khatanga,RU,2021-03-27 22:56:25,71.9667,102.5,-0.22,97,99,8.03,overcast clouds
121,Illapel,CL,2021-03-27 22:56:26,-31.6308,-71.1653,71.91,41,0,4.47,clear sky
122,Klaksvik,FO,2021-03-27 22:56:26,62.2266,-6.589,41.0,100,75,27.63,mist
123,Hambantota,LK,2021-03-27 22:56:26,6.1241,81.1185,77.0,79,84,4.74,broken clouds
124,Chernyshevskiy,RU,2021-03-27 22:52:45,63.0128,112.4714,16.39,95,100,5.66,overcast clouds
125,Luoyang,CN,2021-03-27 22:56:27,34.6836,112.4536,57.0,99,29,6.08,scattered clouds
126,Tena,EC,2021-03-27 22:56:27,-0.9833,-77.8167,82.4,69,40,9.22,light rain
127,Mednogorskiy,RU,2021-03-27 22:56:28,43.9178,41.1825,30.18,84,58,4.18,broken clouds
128,Cabo San Lucas,MX,2021-03-27 22:51:31,22.8909,-109.9124,79.0,46,20,11.5,few clouds
129,San Cristobal,VE,2021-03-27 22:56:28,7.7669,-72.225,75.2,94,75,4.61,fog
130,Puerto Ayora,EC,2021-03-27 22:56:29,-0.7393,-90.3518,82.4,74,20,11.5,few clouds
131,Butaritari,KI,2021-03-27 22:56:29,3.0707,172.7902,81.52,78,90,13.22,light rain
132,Katsuura,JP,2021-03-27 22:56:30,35.1333,140.3,64.0,72,75,16.11,broken clouds
133,Laguna,US,2021-03-27 22:56:30,38.421,-121.4238,77.0,25,1,4.61,clear sky
134,Constitucion,CL,2021-03-27 22:56:30,-35.3333,-72.4167,60.78,68,67,13.22,broken clouds
135,Pangnirtung,CA,2021-03-27 22:56:31,66.1451,-65.7125,-9.4,84,93,3.85,overcast clouds
136,Nikolskoye,RU,2021-03-27 22:55:15,59.7035,30.7861,39.99,70,0,6.71,clear sky
137,Tateyama,JP,2021-03-27 22:56:31,34.9833,139.8667,64.0,68,100,7.0,overcast clouds
138,Xuanhua,CN,2021-03-27 22:56:31,40.6103,115.0447,40.44,38,21,20.67,few clouds
139,Jamestown,US,2021-03-27 22:56:32,42.097,-79.2353,62.6,42,1,5.53,clear sky
140,Fuerte Olimpo,PY,2021-03-27 22:56:32,-21.0415,-57.8738,80.49,69,98,6.04,heavy intensity rain
141,Tukrah,LY,2021-03-27 22:55:29,32.5341,20.5791,53.15,72,8,2.1,clear sky
142,Kapaa,US,2021-03-27 22:55:55,22.0752,-159.319,78.8,69,20,14.97,few clouds
143,Leningradskiy,RU,2021-03-27 22:56:33,69.3833,178.4167,-5.4,87,42,8.16,scattered clouds
144,Taoudenni,ML,2021-03-27 22:56:33,22.6783,-3.9836,79.9,9,6,12.41,clear sky
145,Dikson,RU,2021-03-27 22:56:34,73.5069,80.5464,-20.81,100,98,8.03,overcast clouds
146,Sitka,US,2021-03-27 22:55:22,57.0531,-135.33,37.4,75,90,10.36,light rain
147,Ndende,GA,2021-03-27 22:56:34,-2.4008,11.3581,73.94,97,98,1.92,light rain
148,Barinas,VE,2021-03-27 22:56:35,8.6226,-70.2075,82.38,51,98,2.84,overcast clouds
149,Zhelyabovka,UA,2021-03-27 22:56:35,45.3988,34.7578,42.37,76,99,6.78,overcast clouds
150,Manokwari,ID,2021-03-27 22:56:35,-0.8667,134.0833,76.73,90,100,6.51,moderate rain
151,Fortuna,US,2021-03-27 22:55:50,40.5982,-124.1573,64.99,77,20,14.97,few clouds
152,Mahebourg,MU,2021-03-27 22:56:36,-20.4081,57.7,75.2,88,75,5.75,broken clouds
153,Mugur-Aksy,RU,2021-03-27 22:53:05,50.35,90.5,16.34,58,94,5.3,overcast clouds
154,Morro Bay,US,2021-03-27 22:56:37,35.3658,-120.8499,71.6,37,1,16.11,clear sky
155,Blythe,US,2021-03-27 22:53:30,33.6103,-114.5964,80.6,9,1,12.66,clear sky
156,Zhigansk,RU,2021-03-27 22:55:41,66.7697,123.3711,6.94,96,94,4.36,overcast clouds
157,Alta Floresta,BR,2021-03-27 22:56:38,-9.8756,-56.0861,72.52,94,34,2.82,scattered clouds
158,Seinajoki,FI,2021-03-27 22:56:38,62.7945,22.8282,41.0,81,75,8.05,moderate rain
159,Moose Factory,CA,2021-03-27 22:56:38,51.2585,-80.6094,26.6,68,1,12.66,clear sky
160,Half Moon Bay,US,2021-03-27 22:56:39,37.4636,-122.4286,77.0,55,1,11.5,haze
161,Kibala,TD,2021-03-27 22:56:39,9.1104,18.3463,87.8,45,0,2.15,light rain
162,Ostersund,SE,2021-03-27 22:56:39,63.1792,14.6357,33.8,93,99,3.44,overcast clouds
163,Deputatskiy,RU,2021-03-27 22:52:55,69.3,139.9,1.42,95,98,1.34,overcast clouds
164,Aksha,RU,2021-03-27 22:56:40,50.2814,113.2867,27.0,62,100,19.3,overcast clouds
165,Kodiak,US,2021-03-27 22:56:41,57.79,-152.4072,33.8,47,75,29.93,broken clouds
